ts_iso,provider,temp_c,precip_mm_1h,humidity_pct,wind_speed_mps,wind_dir_deg,pressure_hpa,weather_code_or_text
2025-10-13T15:31:04+08:00,open-meteo,29.9,0.3,74.0,8.7,142.0,1011.2,95
2025-10-13T16:02:40+08:00,深圳下沙,open-meteo,29.7,0.3,74.0,8.9,133.0,1011.2,95,雷阵雨
2025-10-13T16:21:01+08:00,,深圳市,open-meteo,29.6,0.3,74.0,8.8,125.0,1011.2,95,雷阵雨
2025-10-14T11:49:35+08:00,,深圳市,open-meteo,30.5,0.1,70.0,3.3,96.0,1013.7,80,小阵雨
2025-10-14T12:26:57+08:00,,深圳市,open-meteo,31.2,0.0,65.0,2.1,121.0,1013.4,2,局部多云
2025-10-14T13:21:45+08:00,,深圳市,open-meteo,31.6,0.0,64.0,4.8,153.0,1012.5,2,局部多云
2025-10-14T13:52:46+08:00,,深圳市,open-meteo,31.5,0.0,65.0,5.5,169.0,1012.1,2,局部多云
